GHCND,LAT,LON,ELEV,ST,NAME
USC00129113,38.7386,-87.4878,137.8,IN ,VINCENNES 5 NE                 
USC00129222,41.4439,-86.9294,224.0,IN ,WANATAH 2 WNW
USC00129430,40.475,-86.9919,215.8,IN ,W LAFAYETTE 6 NW
USC00129557,39.9961,-86.3542,286.8,IN ,WHITESTOWN                     
USC00130200,42.0208,-93.7742,335.0,IA ,AMES 8 WSW
USC00130364,41.4175,-95.0042,351.1,IA ,ATLANTIC 1 NE
USC00131060,40.7747,-91.1164,210.3,IA ,BURLINGTON 2S
USC00131319,42.0497,-91.5881,247.8,IA ,CEDAR RAPIDS #1
USC00131533,40.7244,-95.0192,298.7,IA ,CLARINDA                       
USC00131635,41.7947,-90.2639,178.3,IA ,CLINTON #1                     
USC00132171,42.0364,-95.3289,427.0,IA ,DENISON
USC00132209,41.7367,-93.7236,292.3,IA ,DES MOINES WSFO-JOHNSTON
USC00132299,40.6458,-91.5639,214.9,IA ,DONNELLSON
USC00132864,42.8503,-91.8158,344.4,IA ,FAYETTE                        
USC00133007,40.6222,-91.3339,161.5,IA ,FT MADISON
USC00133473,41.72,-92.7489,275.8,IA ,GRINNELL 3 SW
USC00133517,42.7858,-91.0958,188.4,IA ,GUTTENBERG L&D 10
USC00133718,43.0031,-96.485,362.7,IA ,HAWARDEN
USC00133909,42.4897,-95.5489,417.6,IA ,HOLSTEIN
USC00134874,41.8264,-96.0506,312.4,IA ,LITTLE SIOUX 2NW
USC00134963,41.8606,-90.9222,224.9,IA ,LOWDEN
USC00135086,42.4733,-91.4517,301.8,IA ,MANCHESTER #2
USC00135131,42.0494,-90.7489,232.3,IA ,MAQUOKETA 4 W
USC00135230,43.1631,-93.1953,336.8,IA ,MASON CITY
USC00135493,43.3828,-95.1842,427.3,IA ,MILFORD 4 NW
USC00135837,41.4075,-91.0728,167.3,IA ,MUSCATINE
USC00136199,42.68,-91.875,355.1,IA ,OELWEIN 1E
USC00136940,41.0036,-95.2419,317.0,IA ,RED OAK
USC00137594,43.1808,-95.8528,432.8,IA ,SHELDON
USC00137702,42.3964,-96.3778,335.3,IA ,SIOUX CITY ANG
USC00137726,42.8931,-95.0653,432.8,IA ,SIOUX RAPIDS 4 E
USC00137844,43.1653,-95.1467,404.2,IA ,SPENCER 1 N                    
USC00137979,42.6469,-95.1933,439.5,IA ,STORM LAKE                     
USC00138296,42.0356,-92.5806,289.3,IA ,TOLEDO 3N                      
USC00138339,42.8125,-92.2575,292.6,IA ,TRIPOLI
USC00138568,42.1703,-92.0078,259.1,IA ,VINTON
USC00138806,42.4686,-93.7972,356.6,IA ,WEBSTER CITY
USC00140200,39.4483,-98.9703,521.2,KS ,ALTON 2SW
USC00140365,37.1942,-99.7633,600.5,KS ,ASHLAND                        
USC00140439,39.7997,-101.0422,881.8,KS ,ATWOOD
USC00140682,39.8186,-97.6378,466.3,KS ,BELLEVILLE
USC00140810,37.2758,-95.4728,276.5,KS ,BIG HILL LAKE
USC00140957,39.0636,-94.8958,253.0,KS ,BONNER SPRINGS
USC00141179,39.8775,-98.3036,503.2,KS ,BURR OAK 1N
USC00141351,38.0211,-96.6036,463.3,KS ,CASSODAY 2SE
USC00141522,37.8133,-100.3456,823.9,KS ,CIMARRON
USC00141673,37.0614,-95.6356,224.6,KS ,COFFEYVILLE WTR WKS
USC00141699,39.3925,-101.0689,966.2,KS ,COLBY 1SW
USC00141704,37.2733,-99.3289,644.7,KS ,COLDWATER                      
USC00141740,37.1767,-94.8428,272.2,KS ,COLUMBUS                       
USC00141761,39.5592,-97.6697,451.4,KS ,CONCORDIA 1 W
USC00142401,37.8183,-96.8444,393.2,KS ,EL DORADO                      
USC00142430,37.2775,-95.7769,258.8,KS ,ELK CITY LAKE
USC00142432,37.0058,-101.8867,1097.0,KS ,ELKHART
USC00142459,38.7297,-98.225,477.9,KS ,ELLSWORTH                      
USC00142622,37.8253,-96.2644,335.3,KS ,EUREKA 1E
USC00142881,39.7756,-96.3503,379.2,KS ,FRANKFORT 6NE
USC00142894,37.5339,-95.8269,272.2,KS ,FREDONIA
USC00142980,37.9931,-100.8122,880.9,KS ,GARDEN CITY EXP STN
USC00143527,38.8586,-99.3358,612.6,KS ,HAYS 1 S                       
USC00143545,37.5194,-97.3142,378.0,KS ,HAYSVILLE 3SE
USC00143554,38.6003,-100.6197,868.7,KS ,HEALY
USC00143594,38.6656,-96.9494,407.8,KS ,HERINGTON
USC00143847,38.1042,-98.6592,569.1,KS ,HUDSON
USC00143855,37.1639,-101.34,947.9,KS ,HUGOTON
USC00143867,37.8117,-95.4456,286.5,KS ,HUMBOLDT
USC00143929,38.09,-97.9125,469.4,KS ,HUTCHINSON
USC00143930,37.9311,-98.0297,472.1,KS ,HUTCHINSON 10 SW
USC00143984,37.9233,-95.4242,290.8,KS ,IOLA 1 W
USC00144178,38.6078,-97.9597,454.8,KS ,KANOPOLIS LAKE
USC00144695,37.0308,-100.9069,863.8,KS ,LIBERAL                        
USC00144712,39.0294,-98.13,427.0,KS ,LINCOLN 1 SE
USC00144857,39.9,-98.0256,488.3,KS ,LOVEWELL DAM
USC00144972,39.1972,-96.5814,323.1,KS ,MANHATTAN                      
USC00145039,38.3778,-97.0753,417.3,KS ,MARION RSVR
USC00145063,39.8383,-96.6364,358.1,KS ,MARYSVILLE
USC00145363,39.1247,-97.7047,398.1,KS ,MINNEAPOLIS                    
USC00145421,37.5922,-100.4389,844.3,KS ,MONTEZUMA
USC00145536,37.1872,-95.4508,243.8,KS ,MOUND VALLEY 3 WSW
USC00145692,38.4481,-99.91,685.8,KS ,NESS CITY
USC00145744,38.0344,-97.3431,438.9,KS ,NEWTON
USC00145852,39.8114,-99.9386,713.2,KS ,NORTON DAM
USC00145856,39.7411,-99.8361,719.3,KS ,NORTON 9SSE                    
USC00145870,37.4553,-97.8483,457.5,KS ,NORWICH
USC00145888,39.1131,-100.9447,944.9,KS ,OAKLEY 4W
USC00146076,38.6361,-95.8031,331.9,KS ,OSAGE CITY
USC00146242,37.3678,-95.2892,277.4,KS ,PARSONS 2 NW
USC00146414,37.39,-94.7025,277.4,KS ,PITTSBURG
USC00146435,39.245,-99.3808,668.7,KS ,PLAINVILLE 4WNW
USC00146549,37.6456,-98.7281,571.5,KS ,PRATT
USC00146637,39.0667,-100.2389,814.4,KS ,QUINTER
USC00147093,39.7675,-101.8067,1016.8,KS ,SAINT FRANCIS                  
USC00147271,38.4747,-100.9175,906.5,KS ,SCOTT CITY                     
USC00147534,37.5339,-96.8814,405.4,KS ,SMILEYBERG 1N
USC00147542,39.7772,-98.7783,554.7,KS ,SMITH CTR                      
USC00147796,38.2144,-98.2078,498.7,KS ,STERLING
USC00148061,38.4331,-96.5578,381.0,KS ,TALLGRASS PRAIRIE NP
USC00148235,38.4661,-101.7758,1108.3,KS ,TRIBUNE 1W
USC00148250,39.8283,-95.0881,317.0,KS ,TROY 3N
USC00148287,37.5983,-101.2908,943.1,KS ,ULYSSES 3NE
USC00148563,39.2142,-96.3703,348.7,KS ,WAMEGO 4 W
USC00148847,37.6553,-97.4431,406.6,KS ,WICHITA WX
USC00148964,37.2889,-96.9408,376.4,KS ,WINFIELD 3NE
USC00149080,37.8786,-95.7292,341.4,KS ,YATES CTR
USC00150397,37.8194,-85.3847,237.7,KY ,BARDSTOWN 5E
USC00151890,37.4903,-84.4375,312.4,KY ,CRAB ORCHARD 6 N
USC00152442,37.0486,-88.0728,159.4,KY ,EDDYVILLE 5S
USC00152903,38.4503,-83.7355,286.5,KY ,FLEMINGSBURG 2 N
USC00154958,38.115,-85.6444,192.6,KY ,LOUISVILLE WFO
USC00155097,37.1317,-86.1481,231.6,KY ,MAMMOTH CAVE
USC00155444,37.4336,-86.0089,182.9,KY ,MILLERSTOWN 4E
USC00155694,36.6122,-88.3083,160.6,KY ,MURRAY
USC00156624,37.5339,-83.3492,225.6,KY ,QUICKSAND
USC00157215,36.7458,-86.2258,225.6,KY ,SCOTTSVILLE
USC00157431,37.0875,-82.9925,330.1,KY ,SKYLINE 1 SE
USC00158555,37.0683,-88.7725,125.9,KY ,WEST PADUCAH 2W
USC00158635,37.1025,-82.8047,378.0,KY ,WHITESBURG 2SE
USC00160800,32.3744,-92.9433,93.6,LA ,BIENVILLE 3 NE
USC00162534,30.0719,-91.0278,9.1,LA ,DONALDSONVILLE 4 SW            
USC00163313,29.8233,-91.5442,3.7,LA ,FRANKLIN 3 NW                  
USC00164674,29.9592,-91.7108,6.1,LA ,JEANERETTE 5 NW
USC00164700,30.2003,-92.6642,7.6,LA ,JENNINGS                       
USC00165266,31.1417,-93.2397,8.5,LA ,LEESVILLE
USC00165620,30.3644,-91.1672,6.4,LA ,LSU BEN-HUR FARM
USC00166244,32.6053,-93.2947,56.4,LA ,MINDEN
USC00166434,30.3392,-93.215,7.6,LA ,MOSS BLUFF 2 NNW
USC00166584,31.8142,-93.0856,43.0,LA ,NATCHITOCHES #2
USC00166676,29.9347,-90.1361,0.0,LA ,NEW ORLEANS CARROLLTON
USC00166938,30.6036,-92.7739,19.8,LA ,OBERLIN FIRE TWR
USC00167932,29.7286,-92.8181,1.2,LA ,ROCKEFELLER WL REFUGE
USC00168444,32.3919,-93.7803,61.0,LA ,SHREVEPORT STHRN HILLS
USC00168448,32.4514,-93.8417,83.5,LA ,SHREVEPORT WFO
USC00168941,29.91,-90.0342,3.0,LA ,TERRYTOWN 3S
USC00170217,44.6531,-70.7942,250.5,ME ,ANDOVER 2
USC00170409,43.9317,-69.8564,7.6,ME ,BATH
USC00170480,44.4394,-68.9892,9.1,ME ,BELFAST
USC00170814,45.6603,-69.812,325.8,ME ,BRASSUA DAM                    
USC00170833,46.4283,-67.8442,128.0,ME ,BRIDGEWATER
USC00171131,43.2242,-70.6389,46.3,ME ,CAPE NEDDICK
USC00171975,45.1872,-69.1839,112.8,ME ,DOVER-FOXCROFT WWTP
USC00172048,43.9997,-70.0964,42.7,ME ,DURHAM
USC00172440,45.1369,-69.2806,193.5,ME ,EAST SANGERVILLE
USC00172443,44.4933,-68.4583,32.0,ME ,EAST SURRY
USC00172765,44.6894,-70.1564,123.4,ME ,FARMINGTON                     
USC00172878,47.2386,-68.6136,185.9,ME ,FT KENT
USC00173046,44.2203,-69.7889,40.5,ME ,GARDINER                       
USC00173295,43.8925,-70.2544,115.2,ME ,GRAY                           
USC00173570,44.3744,-70.3164,214.9,ME ,HARTFORD
USC00173862,43.6475,-70.675,92.7,ME ,HOLLIS
USC00174193,43.3606,-70.4697,6.1,ME ,KENNEBUNKPORT
USC00174550,44.9153,-69.0539,125.0,ME ,LEVANT
USC00174745,44.4717,-70.1594,115.8,ME ,LIVERMORE FALLS 1 E
USC00174927,44.7975,-69.8889,67.1,ME ,MADISON
USC00175305,45.6403,-68.6747,109.7,ME ,MILLINOCKET WASTEWATER
USC00175460,45.5853,-69.7186,316.1,ME ,MOOSEHEAD
USC00175675,44.0461,-69.5367,57.9,ME ,NEWCASTLE
USC00175736,44.6353,-70.0003,146.3,ME ,NEW SHARON
USC00176721,45.8944,-69.9647,335.3,ME ,PITTSTON FARM
USC00176856,44.0069,-70.3608,170.7,ME ,POLAND
USC00177037,44.9892,-70.6719,466.3,ME ,RANGELEY
USC00177039,44.9894,-70.6722,542.5,ME ,RANGELEY 2 NW
USC00177174,45.8783,-69.1775,290.2,ME ,RIPOGENUS DAM
USC00177238,45.0853,-67.1203,35.1,ME ,ROBBINSTON
USC00178792,45.4353,-67.7214,189.0,ME ,TOPSFIELD 2
USC00178817,44.2822,-70.2561,172.2,ME ,TURNER
USC00179151,44.5272,-69.6544,22.3,ME ,WATERVILLE TRTMT PLT
USC00179295,44.9442,-67.7086,71.0,ME ,WESLEY 2W
USC00180700,39.0303,-76.9314,44.2,MD ,BELTSVILLE                     
USC00182282,39.6419,-78.7561,222.5,MD ,CUMBERLAND 2                   
USC00182336,39.2647,-77.2319,213.4,MD ,DAMASCUS 3 SSW
USC00182906,39.6811,-77.2914,122.8,MD ,EMMITSBURG 2 SE
USC00183415,39.66,-78.9358,661.4,MD ,FROSTBURG 2
USC00185865,38.4617,-76.6992,30.5,MD ,MECHANICSVILLE 5 NE
USC00185934,39.7194,-76.8028,262.1,MD ,MILLERS 4 NE
USC00186620,39.4133,-79.4,737.6,MD ,OAKLAND 1 SE                   
USC00186800,38.7956,-76.9947,56.7,MD ,OXON HILL
USC00187806,38.7153,-76.1908,3.0,MD ,ROYAL OAK 2 SSW                
USC00188557,38.9719,-76.3381,3.0,MD ,STEVENSVILLE 2SW
USC00190120,42.3861,-72.5375,44.2,MA ,AMHERST                        
USC00190190,42.6178,-71.9158,337.7,MA ,ASHBURNHAM
USC00190408,42.4281,-72.0275,251.5,MA ,BARRE FALLS DAM
USC00190666,42.6325,-72.1228,260.6,MA ,BIRCH HILL DAM
USC00190736,42.2122,-71.1136,190.5,MA ,BLUE HILL                      
USC00190860,42.0478,-71.005,24.4,MA ,BROCKTON
USC00190998,42.1164,-71.9075,158.5,MA ,BUFFUMVILLE LAKE
USC00191386,41.6569,-69.9592,12.2,MA ,CHATHAM                        
USC00192372,41.7144,-70.4717,45.7,MA ,EAST SANDWICH
USC00192501,41.3853,-70.5181,9.1,MA ,EDGARTOWN
USC00192913,42.0786,-71.2381,82.3,MA ,FOXBORO
USC00193229,42.5719,-72.5975,39.6,MA ,GREENFIELD #3
USC00193276,42.7467,-71.0425,9.1,MA ,GROVELAND
USC00193624,42.2269,-70.9125,10.7,MA ,HINGHAM
USC00193821,41.665,-70.3039,18.3,MA ,HYANNIS
USC00193890,42.3031,-71.1239,29.0,MA ,JAMAICA PLAIN
USC00194105,42.6992,-71.1658,15.2,MA ,LAWRENCE                       
USC00194131,42.3356,-73.2506,306.0,MA ,LENOX DALE
USC00194711,41.8819,-70.9086,13.7,MA ,MIDDLEBORO
USC00194744,42.5933,-71.0186,33.5,MA ,MIDDLETON
USC00195984,41.9928,-71.1667,29.0,MA ,NORTON WEST
USC00196783,42.5239,-71.125,33.5,MA ,READING                        
USC00196938,41.785,-70.9175,19.8,MA ,ROCHESTER
USC00198368,41.9556,-71.1336,30.5,MA ,TAUNTON 4 NW
USC00198573,42.6394,-72.2244,207.3,MA ,TULLY LAKE
USC00198757,42.1608,-71.2461,51.8,MA ,WALPOLE 2                      
USC00199193,42.0931,-72.8036,131.1,MA ,WESTFIELD 3 SW
USC00199972,42.3869,-72.9211,391.7,MA ,WORTHINGTON
USC00200228,42.2417,-83.6933,253.6,MI ,ANN ARBOR SE
USC00200230,42.2947,-83.7108,274.3,MI ,ANN ARBOR U OF MICH            
USC00200342,44.9933,-84.1625,272.8,MI ,ATLANTA 1SW
USC00200417,43.8081,-82.9939,217.9,MI ,BAD AXE
USC00200552,42.3667,-85.2667,283.5,MI ,BATTLE CREEK 5NW
USC00200710,42.1244,-86.4267,190.5,MI ,BENTON HARBOR AP
USC00200758,44.5317,-86.1311,235.6,MI ,BEULAH 7SSW
USC00200770,46.8325,-87.7503,233.2,MI ,BIG BAY 1NW
USC00200925,45.1672,-84.9139,221.9,MI ,BOYNE FALLS
USC00201150,43.0675,-83.5919,230.7,MI ,BURTON 4N
USC00201250,42.0636,-83.4358,191.1,MI ,CARLETON 2W
USC00201468,45.3172,-85.2672,180.7,MI ,CHARLEVOIX
USC00201486,46.3414,-86.9242,265.2,MI ,CHATHAM EXP FARM 2             
USC00201502,42.3264,-84.0133,274.3,MI ,CHELSEA
USC00201675,41.9622,-84.9925,299.9,MI ,COLDWATER ST SCHOOL            
USC00202250,41.9856,-86.1319,225.6,MI ,DOWAGIAC 1 W
USC00202375,42.9378,-85.6131,227.4,MI ,E GRAND RAPIDS
USC00202382,45.1864,-85.1478,196.9,MI ,EAST JORDAN 2NW
USC00202423,44.2839,-83.5036,178.6,MI ,EAST TAWAS                     
USC00202691,42.4669,-83.3625,219.5,MI ,FARMINGTON
USC00202851,43.0378,-83.7694,207.0,MI ,FLINT 7 W
USC00203025,43.4458,-86.0264,243.8,MI ,FREMONT 4 WSW
USC00203078,45.8981,-86.5483,199.0,MI ,GARDEN CORNERS
USC00203096,45.0333,-84.7114,401.7,MI ,GAYLORD
USC00203099,44.9072,-84.7189,447.4,MI ,GAYLORD 9SSW                   
USC00203391,44.6547,-84.6997,346.6,MI ,GRAYLING
USC00203429,43.2025,-85.2422,268.8,MI ,GREENVILLE 2 NNE
USC00203585,43.8322,-82.6428,181.4,MI ,HARBOR BEACH 1 SSE
USC00203628,44.6819,-83.2808,178.3,MI ,HARRISVILLE 2NNE
USC00203632,43.6747,-86.4239,234.7,MI ,HART 3 WSW                     
USC00203823,41.9353,-84.6411,329.2,MI ,HILLSDALE                      
USC00203925,42.6353,-85.7611,214.9,MI ,HOPKINS 1 N
USC00204090,45.7858,-88.0842,326.4,MI ,IRON MT KINGSFORD WWTP         
USC00204161,47.0083,-88.4317,198.1,MI ,JACOBSVILLE
USC00204257,44.7281,-85.1728,315.5,MI ,KALKASKA
USC00204258,44.5897,-85.0486,330.1,MI ,KALKASKA 11SE
USC00204425,46.3342,-87.3778,340.2,MI ,KI SAWYER WWTP
USC00204502,44.3089,-85.205,374.9,MI ,LAKE CITY EXP FARM
USC00205533,44.6467,-84.1158,316.1,MI ,MIO WWTP
USC00205567,43.4614,-86.4175,198.1,MI ,MONTAGUE 4 NW
USC00205591,45.9903,-84.8361,211.8,MI ,MORAN
USC00205822,41.9497,-83.28,176.2,MI ,NEWPORT 4SSE
USC00205892,41.8406,-86.2658,198.1,MI ,NILES
USC00206007,45.1322,-85.6472,227.4,MI ,NORTHPORT 2W
USC00206012,44.8831,-85.6753,249.9,MI ,NW MICHIGAN RSCH FM
USC00206510,45.3614,-84.9511,228.0,MI ,PETOSKEY NCMC
USC00207364,46.4867,-84.4089,192.0,MI ,SAULT STE MARIE
USC00208043,46.6014,-85.2239,227.1,MI ,TAHQUAMENON FALLS SP
USC00208184,41.93,-85.6386,246.9,MI ,THREE RIVERS
USC00208417,45.1703,-84.4397,275.8,MI ,VANDERBILT 11ENE
USC00208774,44.2294,-85.9572,235.6,MI ,WELLSTON 1N
USC00208941,42.6981,-83.4717,321.0,MI ,WHITE LAKE 4E
USC00210018,47.2992,-96.5161,276.5,MN ,ADA                            
USC00210075,43.6064,-93.3019,374.9,MN ,ALBERT LEA 3 SE                
USC00210157,43.8836,-94.1664,313.9,MN ,AMBOY
USC00210190,45.2533,-93.2928,274.0,MN ,ANDOVER 1N
USC00210252,48.3311,-96.8253,258.2,MN ,ARGYLE                         
USC00210287,45.3783,-96.1542,333.1,MN ,ARTICHOKE LAKE
USC00210355,43.6542,-92.9739,365.5,MN ,AUSTIN WWT FAC
USC00210939,46.3433,-94.2086,359.7,MN ,BRAINERD
USC00211074,46.3003,-92.5336,381.9,MN ,BRUNO 7ENE
USC00211198,43.6308,-91.5028,355.4,MN ,CALEDONIA
USC00211227,45.5506,-93.1264,292.6,MN ,CAMBRIDGE 5ESE
USC00211374,47.3847,-94.6147,395.0,MN ,CASS LAKE
USC00211448,44.8497,-93.5644,288.3,MN ,CHANHASSEN WSFO
USC00211468,44.8131,-93.6311,281.3,MN ,CHASKA 2NW
USC00211691,45.5794,-94.3919,368.8,MN ,COLLEGEVILLE ST JOHN'S
USC00212146,46.8575,-95.6067,470.0,MN ,DETROIT LAKES 12E
USC00212842,46.9728,-92.87,384.0,MN ,FLOODWOOD 3 NE
USC00212881,45.3397,-92.9125,280.4,MN ,FOREST LAKE 5NE
USC00213174,45.6583,-95.4392,365.2,MN ,GLENWOOD 2 WNW
USC00213290,43.7047,-92.5644,411.5,MN ,GRAND MEADOW                   
USC00213303,47.2436,-93.4975,399.3,MN ,GRAND RPDS FOREST LAB          
USC00213311,44.8136,-95.5517,283.5,MN ,GRANITE FALLS
USC00213567,44.7597,-92.8689,207.3,MN ,HASTINGS DAM 2
USC00214093,47.0239,-92.07,429.8,MN ,ISLAND LAKE 4E
USC00214176,44.65,-93.6356,274.3,MN ,JORDAN 1SSW
USC00214373,45.3533,-94.3056,353.6,MN ,KIMBALL 3N
USC00214453,43.7022,-95.1519,466.3,MN ,LAKEFIELD 2NE
USC00214546,44.2394,-95.3153,347.5,MN ,LAMBERTON SW RSCH & OUTREACH C
USC00214778,45.1278,-94.5347,341.4,MN ,LITCHFIELD
USC00214861,45.9647,-94.8892,408.4,MN ,LONG PRAIRIE
USC00215204,44.4706,-95.7908,351.1,MN ,MARSHALL
USC00215400,45.1219,-95.9269,310.9,MN ,MILAN 1 NW                     
USC00215563,44.9342,-95.7458,301.8,MN ,MONTEVIDEO 1SW                 
USC00215638,45.59,-95.8744,347.5,MN ,MORRIS W CNTRL RSCH & OUTREACH 
USC00215838,45.01,-93.3792,277.4,MN ,NEW HOPE
USC00215888,44.2944,-94.4083,281.9,MN ,NEW ULM 3SE
USC00215902,46.5233,-95.3847,428.5,MN ,NEW YORK MILLS
USC00216211,48.0508,-92.7636,400.8,MN ,ORR 3E
USC00216287,44.0981,-93.2308,347.5,MN ,OWATONNA
USC00216547,46.6694,-94.1089,381.0,MN ,PINE RVR DAM                   
USC00216795,47.8761,-95.0167,370.6,MN ,RED LAKE INDIAN AGCY
USC00216822,44.6103,-92.61,206.3,MN ,RED WING DAM 3
USC00216839,44.5486,-95.0997,310.9,MN ,REDWOOD FALLS
USC00217326,43.9903,-94.6122,326.1,MN ,ST JAMES WWTP
USC00217379,44.9311,-93.1539,281.9,MN ,ST PAUL 3SW
USC00217405,44.3222,-93.9656,242.3,MN ,ST PETER                       
USC00217502,45.5458,-93.7572,307.8,MN ,SANTIAGO 3 E
USC00217602,43.6303,-94.7744,402.3,MN ,SHERBURN 3 WSW
USC00218421,47.1253,-91.7067,413.0,MN ,TWO HARBORS 7NW
USC00218450,44.9847,-93.1772,295.7,MN ,UNIV OF MINN ST PAUL
USC00218477,45.0483,-93.0958,271.3,MN ,VADNAIS LAKE
USC00218692,44.0708,-93.5264,351.4,MN ,WASECA S RSCH & OUTREACH CTR
USC00218808,43.7467,-93.7367,345.9,MN ,WELLS
USC00218947,45.8619,-96.565,312.1,MN ,WHITE ROCK DAM
USC00219001,45.19,-95.0586,362.7,MN ,WILLMAR 5N
USC00219033,43.8575,-95.1167,419.1,MN ,WINDOM
USC00219046,43.7639,-94.1661,338.3,MN ,WINNEBAGO                      
USC00219072,44.0875,-91.6703,202.1,MN ,WINONA DAM 5 A
USC00219170,43.645,-95.5803,478.5,MN ,WORTHINGTON 2 NNE
USC00219249,44.2992,-92.6661,295.7,MN ,ZUMBROTA                       
USC00220290,34.8492,-89.1597,183.8,MS ,ASHLAND
USC00220955,34.6344,-88.5622,149.4,MS ,BOONEVILLE                     
USC00221094,31.5447,-90.4581,132.6,MS ,BROOKHAVEN CITY                
USC00229173,34.1647,-88.7239,99.1,MS ,VERONA EXP STN
USC00229439,31.6772,-88.6708,61.0,MS ,WAYNESBORO 2 W                 
USC00230368,36.875,-92.8519,364.8,MO ,AVA 12SW
USC00231340,39.3594,-93.4886,214.9,MO ,CARROLLTON
USC00231580,39.775,-93.5358,237.7,MO ,CHILLICOTHE 2S
USC00231748,38.4844,-93.2556,304.8,MO ,COLE CAMP 3NW
USC00231801,38.9422,-92.32,219.5,MO ,COLUMBIA U OF M
USC00232240,36.9858,-94.3553,326.1,MO ,DIAMOND 2W
USC00232619,37.1561,-91.3603,195.1,MO ,EMINENCE 1 N
USC00233094,36.8061,-93.4678,313.0,MO ,GALENA
USC00234694,38.2042,-92.6233,179.8,MO ,LAKESIDE
USC00235027,37.3908,-93.9489,326.1,MO ,LOCKWOOD                       
USC00235671,39.4194,-92.4369,262.1,MO ,MOBERLY                        
USC00235976,36.8636,-94.3614,317.0,MO ,NEOSHO                         
USC00236012,39.0172,-92.7558,195.4,MO ,NEW FRANKLIN 1W
USC00236745,38.81,-94.2647,304.8,MO ,PLEASANT HILL WFO
USC00236791,36.7578,-90.4056,112.8,MO ,POPLAR BLUFF
USC00237051,38.7983,-94.4436,317.0,MO ,RAYMORE
USC00237263,37.9567,-91.7761,357.5,MO ,ROLLA MISSOURI S&T             
USC00237632,38.6753,-93.2228,237.7,MO ,SEDALIA WTP
USC00238051,39.9714,-91.8872,210.3,MO ,STEFFENVILLE                   
USC00238603,38.4325,-92.8397,305.7,MO ,VERSAILLES
USC00238770,39.2103,-93.5297,243.8,MO ,WAVERLY
USC00239056,36.9789,-91.3844,292.9,MO ,WINONA 3 SW
USC00240075,47.0036,-114.4781,932.7,MT ,ALBERTON
USC00240111,45.0961,-112.0856,1752.3,MT ,ALDER 19S
USC00240743,45.0403,-105.4855,1096.4,MT ,BIDDLE 8 SW
USC00240780,45.8325,-109.9511,1249.7,MT ,BIG TIMBER                     
USC00240801,45.7508,-108.5706,970.8,MT ,BILLINGS WFO
USC00241044,45.6622,-111.4064,1497.5,MT ,BOZEMAN MONTANA STATE UNIV     
USC00241084,45.8161,-106.2314,844.3,MT ,BRANDENBERG
USC00241088,48.5156,-105.2992,705.0,MT ,BREDETTE
USC00241297,45.5397,-106.9597,1045.5,MT ,BUSBY
USC00241525,47.7922,-111.2203,1051.6,MT ,CARTER 14 W
USC00241737,47.8206,-112.1922,1172.0,MT ,CHOTEAU                        
USC00241758,47.4122,-105.595,754.4,MT ,CIRCLE
USC00241905,45.8944,-106.6336,980.8,MT ,COLSTRIP
USC00241938,45.6444,-109.2675,1097.9,MT ,COLUMBUS
USC00241984,48.0803,-107.525,708.7,MT ,CONTENT 4 NNE
USC00242122,48.1503,-104.5089,591.9,MT ,CULBERTSON
USC00242409,45.2089,-112.6389,1563.3,MT ,DILLON U OF MONTANA WESTERN    
USC00242550,48.7167,-111.4758,1012.9,MT ,DUNKIRK 19NNE
USC00242689,45.8864,-104.5478,1046.1,MT ,EKALAKA                        
USC00242793,45.3394,-111.7122,1509.7,MT ,ENNIS                          
USC00242827,48.8978,-115.0644,771.8,MT ,EUREKA RS
USC00243013,46.8217,-108.3725,1003.4,MT ,FLATWILLOW 4 ENE               
USC00243098,46.2719,-106.6744,766.6,MT ,FORSYTH
USC00243113,47.8306,-110.6608,807.4,MT ,FT BENTON
USC00243749,47.4883,-111.2792,1068.3,MT ,GREAT FALLS 16ST
USC00243915,45.7317,-107.6092,877.8,MT ,HARDIN
USC00243939,46.4328,-109.8311,1273.5,MT ,HARLOWTON
USC00244133,47.6414,-110.6678,1097.3,MT ,HIGHWOOD 7 NE
USC00244328,48.3425,-114.0217,963.2,MT ,HUNGRY HORSE DAM
USC00244345,45.9228,-108.2444,924.8,MT ,HUNTLEY EXP STN                
USC00244506,45.4733,-109.0106,1169.8,MT ,JOLIET
USC00244538,46.6786,-109.7536,1411.2,MT ,JUDITH GAP
USC00244558,48.3042,-114.2636,901.3,MT ,KALISPELL GLACIER AP           
USC00244896,45.3675,-112.0964,1584.4,MT ,LAURIN 2NE
USC00244978,46.9056,-109.4114,1513.3,MT ,LEWISTOWN 11 SSE
USC00245020,47.9578,-115.2144,1048.5,MT ,LIBBY 32 SSE
USC00245080,45.4956,-110.5589,1537.4,MT ,LIVINGSTON 12 S                
USC00245338,48.3939,-107.7286,680.0,MT ,MALTA 7 E                      
USC00245596,46.6008,-107.8706,893.7,MT ,MELSTONE
USC00245603,46.1047,-110.05,1635.3,MT ,MELVILLE 4 W
USC00245668,46.7614,-104.9619,757.1,MT ,MILDRED 5 N                    
USC00245740,46.9244,-114.0911,974.4,MT ,MISSOULA 6 NW WFO
USC00245872,47.0219,-107.8225,887.0,MT ,MOSBY 4 ENE
USC00245961,45.2436,-109.7311,1994.6,MT ,MYSTIC LAKE
USC00246586,48.78,-104.5678,624.2,MT ,PLENTYWOOD
USC00246647,46.1972,-108.0039,1033.3,MT ,POMPEYS PILLAR 15N
